model,cohort,observed_auc,n_target,mean_probability,sd_probability,mean_confidence,mean_entropy,fraction_extreme,species_mean_shift,species_max_shift,species_prevalence_shift,domain_classifier_auc
species_rf,YachidaS_2019,0.707720930232558,508,0.5236028117523561,0.1629119632395634,0.26332619323647777,0.9172808256387369,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
species_source_only,YachidaS_2019,0.7066046511627906,508,0.5277337601302056,0.14561083440485287,0.23085218214178874,0.9334226978108601,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
stratified_joint_rf,YachidaS_2019,0.6633023255813953,508,0.5140810978987884,0.14605270967043016,0.23961227486001072,0.9353107306090604,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
stratified_joint_xgb,YachidaS_2019,0.7065891472868218,508,0.49563080393983094,0.37473223258428795,0.688341051713755,0.49815354228375436,0.4862204724409449,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
stratified_source_only,YachidaS_2019,0.6673333333333333,508,0.5320587171598845,0.13341462055663322,0.22195245686109066,0.9435516757803478,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
gene_family_enet,YuJ_2015,0.713963963963964,128,0.4734597576503249,0.25176217664405004,0.4258888601874397,0.7912237622758423,0.125,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
joint_rf,YuJ_2015,0.8193193193193193,128,0.5502149906454958,0.16101456826018287,0.287088814091784,0.9141406139357364,0.0,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
joint_xgb,YuJ_2015,0.8188188188188188,128,0.5583409310447678,0.3889274585442793,0.7303147935981542,0.43799913272438146,0.5703125,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
mechanism_only,YuJ_2015,0.6038538538538539,128,0.511179139425139,0.06618009140531333,0.0968067412603823,0.9867546537616243,0.0,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
mechanism_plus_parent,YuJ_2015,0.6871871871871872,128,0.5705435572986385,0.09269491996007273,0.1925270566902949,0.9596588047997413,0.0,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
parent_species_only,YuJ_2015,0.6769269269269268,128,0.5673520337866664,0.08187920868784371,0.17815132875824896,0.9669248865345421,0.0,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
pathway_rf,YuJ_2015,0.8428428428428428,128,0.5611863741479678,0.18256616961605887,0.3189610603386505,0.8856689716174484,0.0,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
species_rf,YuJ_2015,0.8646146146146146,128,0.5603340681680569,0.18965824084396776,0.3230012704749966,0.8766265470939286,0.015625,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
species_source_only,YuJ_2015,0.8613613613613614,128,0.5669010510422444,0.17819240809575793,0.30437456532804197,0.887453140346377,0.0078125,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
stratified_joint_rf,YuJ_2015,0.8113113113113113,128,0.5529545375351692,0.1491722854209645,0.26514851216456614,0.924666869197345,0.0,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
stratified_joint_xgb,YuJ_2015,0.8395895895895895,128,0.5413559985372558,0.3960548810629554,0.7354618323915929,0.4195529641003394,0.6015625,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
stratified_source_only,YuJ_2015,0.8315815815815816,128,0.5659228149183327,0.14160578480312738,0.2567911476108955,0.9260973392172689,0.0,0.2434780441563106,1.0258129459268743,0.11175005701917284,0.9938583815028902
gene_family_enet,ZellerG_2014,0.7646149087534797,114,0.6480415264448564,0.2193140817903199,0.4617811869565927,0.7706277763406165,0.12280701754385964,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
joint_rf,ZellerG_2014,0.8261676461490874,114,0.5388005750986671,0.1657965413500247,0.28424001210818617,0.9118617257734041,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
joint_xgb,ZellerG_2014,0.8113207547169811,114,0.5593423796715542,0.3900203821543654,0.7325030909565261,0.43395744292253957,0.5877192982456141,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
mechanism_only,ZellerG_2014,0.5923291060934116,114,0.4984535881360927,0.06899429063476586,0.09796682052382494,0.9858895097253447,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
mechanism_plus_parent,ZellerG_2014,0.6285184039591711,114,0.5191923301617788,0.10793255574267854,0.17408460792468686,0.9642121975416927,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
parent_species_only,ZellerG_2014,0.5910918651407362,114,0.5241381378764968,0.10165872786949774,0.1725560018164598,0.9677068085065762,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
pathway_rf,ZellerG_2014,0.8286421280544386,114,0.5433093068073669,0.17987816613341998,0.3074674398802273,0.8948786075905673,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
species_rf,ZellerG_2014,0.8026600680482525,114,0.5491314661182616,0.18599447562770952,0.31674167295808114,0.8856531591652232,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
species_source_only,ZellerG_2014,0.7884317970924837,114,0.5651167870945962,0.17022494658405626,0.2968988518628227,0.8978673881456296,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
stratified_joint_rf,ZellerG_2014,0.822455923291061,114,0.5301229381947414,0.15107594607707545,0.2493900106273441,0.9280597551216921,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
stratified_joint_xgb,ZellerG_2014,0.7930714506650169,114,0.5774855738793696,0.3794893882589001,0.7063662692916727,0.4522891930398425,0.5263157894736842,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
stratified_source_only,ZellerG_2014,0.8348283328178162,114,0.5278850057831936,0.1382120522613764,0.22502725679721297,0.9400277199048364,0.0,0.2572622813704671,1.2172938889867049,0.10804863062209484,0.8675760830648049
